Alimento,Doencas_Restritivas,Calorias,Refeicao_Indicada
Banana,Diabetes Tipo 2,76,Lanche da Tarde
Brócolis,Doenças Cardíacas,253,Almoço
Morango,Hipertensão,235,Café da Manhã
Pão Integral,Obesidade,155,Almoço
Blueberry,Diabetes Tipo 2,431,Café da Manhã
Salmão,Diabetes Tipo 1,422,Almoço
Ervilhas,Doença Celíaca,274,Almoço
Blueberry,Nenhuma,269,Almoço
Espinafre,Osteoporose,313,Almoço
Tilápia,Diabetes Tipo 2,489,Lanche da Tarde
Carne Magra,Diabetes Tipo 1,262,Almoço
Blueberry,Obesidade,451,Café da Manhã
Aveia,Colesterol Alto,124,Café da Manhã
Pepino,Insuficiência Renal,248,Café da Manhã
Queijo Cottage,Doenças Cardíacas,106,Almoço
Salmão,Hipertensão,462,Lanche da Tarde
Abacate,Hipertensão,305,Jantar
Queijo Cottage,Diabetes Tipo 1,194,Jantar
Semente de Linhaça,Doenças Cardíacas,111,Café da Manhã
Chia,Doença Celíaca,374,Lanche da Tarde
Aveia,Nenhuma,247,Jantar
Maçã,Colesterol Alto,222,Café da Manhã
Aveia,Diabetes Tipo 2,360,Lanche da Tarde
Pimentão,Insuficiência Renal,466,Café da Manhã
Batata Doce,Obesidade,160,Lanche da Tarde
Ovos,Diabetes Tipo 1,254,Almoço
Iogurte Natural,Diabetes Tipo 1,489,Lanche da Tarde
Iogurte Natural,Obesidade,499,Café da Manhã
Laranja,Osteoporose,289,Café da Manhã
Peito de Frango,Doenças Cardíacas,318,Almoço
Cenoura,Osteoporose,459,Café da Manhã
Quinoa,Doença Celíaca,114,Jantar
Peito de Frango,Nenhuma,375,Jantar
Quinoa,Osteoporose,126,Jantar
Cenoura,Diabetes Tipo 1,464,Lanche da Tarde
Tofu,Nenhuma,218,Almoço
Grão-de-Bico,Obesidade,451,Jantar
Aveia,Doença Celíaca,462,Jantar
Maçã,Diabetes Tipo 2,334,Café da Manhã
Tilápia,Doenças Cardíacas,61,Café da Manhã
Maçã,Obesidade,143,Jantar
Cenoura,Osteoporose,115,Lanche da Tarde
Tilápia,Diabetes Tipo 2,154,Lanche da Tarde
Semente de Linhaça,Colesterol Alto,434,Lanche da Tarde
Grão-de-Bico,Nenhuma,158,Lanche da Tarde
Couve,Osteoporose,228,Jantar
Queijo Cottage,Diabetes Tipo 2,300,Café da Manhã
Tofu,Doenças Cardíacas,461,Jantar
Pimentão,Doenças Cardíacas,234,Lanche da Tarde
Cenoura,Doença Celíaca,129,Almoço
Abobrinha,Hipertensão,413,Almoço
Lentilhas,Diabetes Tipo 2,230,Jantar
Banana,Doença Celíaca,322,Jantar
Lentilhas,Obesidade,396,Café da Manhã
Peras,Insuficiência Renal,127,Lanche da Tarde
Cenoura,Nenhuma,75,Jantar
Peras,Insuficiência Renal,457,Café da Manhã
Castanha de Caju,Diabetes Tipo 1,366,Café da Manhã
Laranja,Doenças Cardíacas,453,Jantar
Iogurte Natural,Osteoporose,115,Almoço
Brócolis,Insuficiência Renal,157,Lanche da Tarde
Pão Integral,Osteoporose,496,Jantar
Espinafre,Obesidade,218,Café da Manhã
Salmão,Nenhuma,374,Jantar
Arroz Integral,Osteoporose,193,Almoço
Arroz Integral,Hipertensão,71,Almoço
Arroz Integral,Insuficiência Renal,325,Café da Manhã
Pimentão,Osteoporose,206,Lanche da Tarde
Pepino,Colesterol Alto,275,Jantar
Laranja,Colesterol Alto,188,Jantar
Peito de Frango,Doença Celíaca,74,Lanche da Tarde
Tilápia,Doenças Cardíacas,203,Café da Manhã
Pimentão,Nenhuma,231,Almoço
Couve,Hipertensão,57,Lanche da Tarde
Tilápia,Diabetes Tipo 1,454,Café da Manhã
Semente de Linhaça,Diabetes Tipo 2,405,Lanche da Tarde
Cenoura,Diabetes Tipo 2,265,Café da Manhã
Iogurte Natural,Colesterol Alto,240,Lanche da Tarde
Arroz Integral,Colesterol Alto,496,Jantar
Blueberry,Colesterol Alto,193,Almoço
Aveia,Hipertensão,182,Café da Manhã
Iogurte Natural,Hipertensão,413,Café da Manhã
Lentilhas,Diabetes Tipo 1,150,Café da Manhã
Aveia,Diabetes Tipo 1,272,Jantar
Couve,Obesidade,146,Café da Manhã
Queijo Cottage,Osteoporose,409,Jantar
Tilápia,Osteoporose,135,Jantar
Aveia,Doenças Cardíacas,165,Jantar
Iogurte Natural,Diabetes Tipo 1,435,Lanche da Tarde
Lentilhas,Nenhuma,228,Café da Manhã
Chia,Obesidade,73,Almoço
Lentilhas,Insuficiência Renal,114,Jantar
Ervilhas,Doença Celíaca,320,Lanche da Tarde
Iogurte Natural,Diabetes Tipo 1,255,Lanche da Tarde
Peito de Frango,Diabetes Tipo 2,343,Jantar
Tofu,Obesidade,102,Café da Manhã
Pão Integral,Doença Celíaca,404,Jantar
Feijão Preto,Doenças Cardíacas,254,Almoço
Pimentão,Obesidade,436,Almoço
Tilápia,Nenhuma,164,Lanche da Tarde
Semente de Linhaça,Osteoporose,403,Jantar
Semente de Linhaça,Diabetes Tipo 1,256,Café da Manhã
Tilápia,Insuficiência Renal,451,Jantar
Arroz Integral,Insuficiência Renal,350,Lanche da Tarde
Iogurte Natural,Hipertensão,249,Jantar
Ervilhas,Hipertensão,77,Café da Manhã
Quinoa,Doenças Cardíacas,457,Jantar
Abobrinha,Hipertensão,149,Almoço
Iogurte Natural,Osteoporose,289,Jantar
Espinafre,Insuficiência Renal,115,Café da Manhã
Aveia,Diabetes Tipo 1,121,Café da Manhã
Feijão Preto,Insuficiência Renal,107,Café da Manhã
Salmão,Osteoporose,381,Jantar
Tofu,Diabetes Tipo 2,235,Jantar
Peras,Colesterol Alto,281,Lanche da Tarde
Iogurte Natural,Diabetes Tipo 2,316,Lanche da Tarde
Acelga,Nenhuma,58,Lanche da Tarde
Abacate,Colesterol Alto,320,Jantar
Pão Integral,Diabetes Tipo 2,145,Lanche da Tarde
Pão Integral,Colesterol Alto,332,Lanche da Tarde
Tilápia,Nenhuma,357,Almoço
Semente de Linhaça,Doença Celíaca,475,Jantar
Tomate,Obesidade,91,Almoço
Chia,Osteoporose,297,Café da Manhã
Chia,Doenças Cardíacas,303,Almoço
Brócolis,Osteoporose,351,Jantar
Batata Inglesa,Insuficiência Renal,401,Jantar
Tofu,Nenhuma,204,Lanche da Tarde
Cenoura,Obesidade,295,Café da Manhã
Batata Doce,Nenhuma,151,Almoço
Acelga,Diabetes Tipo 2,305,Jantar
Brócolis,Nenhuma,127,Jantar
Carne Magra,Osteoporose,315,Café da Manhã
Batata Doce,Nenhuma,327,Lanche da Tarde
Aveia,Colesterol Alto,52,Lanche da Tarde
Batata Doce,Nenhuma,289,Almoço
Arroz Integral,Diabetes Tipo 2,466,Lanche da Tarde
Pimentão,Diabetes Tipo 1,118,Café da Manhã
Peito de Frango,Osteoporose,174,Café da Manhã
Ervilhas,Doença Celíaca,474,Jantar
Carne Magra,Doença Celíaca,312,Café da Manhã
Abobrinha,Diabetes Tipo 1,243,Almoço
Arroz Integral,Obesidade,359,Jantar
Banana,Insuficiência Renal,424,Café da Manhã
Laranja,Nenhuma,409,Jantar
Ovos,Hipertensão,102,Café da Manhã
Laranja,Doenças Cardíacas,112,Lanche da Tarde
Iogurte Natural,Hipertensão,284,Almoço
Batata Inglesa,Doenças Cardíacas,369,Almoço
Espinafre,Diabetes Tipo 2,425,Almoço
Abacate,Osteoporose,254,Almoço
Couve,Diabetes Tipo 1,364,Lanche da Tarde
Quinoa,Nenhuma,479,Jantar
Batata Doce,Doença Celíaca,392,Almoço
Tilápia,Doenças Cardíacas,126,Almoço
Peito de Frango,Osteoporose,322,Café da Manhã
Quinoa,Diabetes Tipo 1,373,Jantar
Lentilhas,Insuficiência Renal,264,Almoço
Feijão Preto,Colesterol Alto,305,Almoço
Morango,Nenhuma,330,Jantar
Semente de Linhaça,Obesidade,183,Jantar
Salmão,Nenhuma,262,Lanche da Tarde
Brócolis,Colesterol Alto,303,Almoço
Banana,Diabetes Tipo 1,316,Jantar
Iogurte Natural,Doenças Cardíacas,154,Jantar
Morango,Doença Celíaca,238,Almoço
Salmão,Doença Celíaca,395,Jantar
Couve,Colesterol Alto,76,Lanche da Tarde
Amêndoas,Insuficiência Renal,203,Lanche da Tarde
Acelga,Doenças Cardíacas,272,Almoço
Peito de Frango,Diabetes Tipo 1,331,Jantar
Amêndoas,Nenhuma,119,Lanche da Tarde
Pepino,Hipertensão,333,Almoço
Maçã,Doenças Cardíacas,242,Jantar
Banana,Doenças Cardíacas,339,Jantar
Abacate,Osteoporose,308,Café da Manhã
Castanha de Caju,Doença Celíaca,256,Lanche da Tarde
Chia,Hipertensão,495,Jantar
Queijo Cottage,Hipertensão,345,Jantar
Quinoa,Osteoporose,457,Lanche da Tarde
Castanha de Caju,Diabetes Tipo 2,486,Lanche da Tarde
Aveia,Nenhuma,247,Almoço
Cenoura,Diabetes Tipo 2,84,Café da Manhã
Peito de Frango,Colesterol Alto,436,Café da Manhã
Chia,Doenças Cardíacas,406,Almoço
Semente de Linhaça,Diabetes Tipo 2,256,Jantar
Castanha de Caju,Obesidade,333,Jantar
Cenoura,Osteoporose,205,Lanche da Tarde
Peras,Obesidade,242,Café da Manhã
Batata Inglesa,Obesidade,391,Jantar
Aveia,Hipertensão,298,Café da Manhã
Carne Magra,Osteoporose,279,Jantar
Castanha de Caju,Hipertensão,323,Almoço
Batata Doce,Hipertensão,378,Lanche da Tarde
Chia,Insuficiência Renal,186,Lanche da Tarde
Cenoura,Diabetes Tipo 2,351,Café da Manhã
Pão Integral,Hipertensão,319,Jantar
Tofu,Nenhuma,70,Lanche da Tarde
Carne Magra,Doença Celíaca,162,Jantar
Arroz Integral,Hipertensão,455,Jantar
Semente de Linhaça,Doenças Cardíacas,393,Almoço
Salmão,Obesidade,179,Jantar
Batata Doce,Insuficiência Renal,472,Almoço
Chia,Osteoporose,288,Jantar
Iogurte Natural,Doença Celíaca,362,Café da Manhã
Pimentão,Hipertensão,125,Almoço
Tilápia,Diabetes Tipo 2,202,Café da Manhã
Abacate,Insuficiência Renal,399,Jantar
Tilápia,Hipertensão,465,Lanche da Tarde
Carne Magra,Doença Celíaca,199,Café da Manhã
Morango,Diabetes Tipo 2,270,Almoço
Brócolis,Obesidade,254,Jantar
Maçã,Diabetes Tipo 2,270,Café da Manhã
Abobrinha,Diabetes Tipo 1,371,Lanche da Tarde
Tomate,Colesterol Alto,145,Almoço
Batata Doce,Osteoporose,488,Lanche da Tarde
Abobrinha,Doença Celíaca,188,Jantar
Aveia,Doenças Cardíacas,270,Café da Manhã
Tofu,Osteoporose,98,Café da Manhã
Pimentão,Insuficiência Renal,412,Almoço
Peito de Frango,Diabetes Tipo 2,327,Lanche da Tarde
Ovos,Hipertensão,253,Jantar
Chia,Colesterol Alto,182,Lanche da Tarde
Batata Inglesa,Nenhuma,173,Café da Manhã
Salmão,Doenças Cardíacas,158,Almoço
Aveia,Diabetes Tipo 2,256,Lanche da Tarde
Iogurte Natural,Insuficiência Renal,487,Café da Manhã
Cenoura,Doença Celíaca,233,Café da Manhã
Batata Inglesa,Diabetes Tipo 1,476,Café da Manhã
Batata Inglesa,Diabetes Tipo 1,298,Lanche da Tarde
Abacate,Nenhuma,145,Lanche da Tarde
Chia,Doença Celíaca,93,Café da Manhã
Espinafre,Insuficiência Renal,378,Café da Manhã
Abobrinha,Osteoporose,301,Jantar
Pão Integral,Osteoporose,456,Lanche da Tarde
Lentilhas,Obesidade,89,Almoço
Castanha de Caju,Insuficiência Renal,474,Almoço
Acelga,Doença Celíaca,84,Lanche da Tarde
Abobrinha,Diabetes Tipo 1,341,Lanche da Tarde
Iogurte Natural,Obesidade,486,Café da Manhã
Iogurte Natural,Nenhuma,273,Almoço
Couve,Insuficiência Renal,304,Jantar
Pepino,Insuficiência Renal,237,Jantar
Iogurte Natural,Diabetes Tipo 1,470,Café da Manhã
Grão-de-Bico,Osteoporose,99,Lanche da Tarde
Ovos,Nenhuma,68,Café da Manhã
Carne Magra,Doenças Cardíacas,487,Almoço
Brócolis,Doenças Cardíacas,447,Café da Manhã
Pimentão,Nenhuma,360,Café da Manhã
Arroz Integral,Diabetes Tipo 2,296,Café da Manhã
Cenoura,Diabetes Tipo 2,241,Lanche da Tarde
Carne Magra,Doenças Cardíacas,235,Almoço
Aveia,Diabetes Tipo 1,97,Jantar
Tofu,Nenhuma,445,Almoço
Pimentão,Doenças Cardíacas,285,Café da Manhã
Tofu,Osteoporose,292,Almoço
Pepino,Doença Celíaca,242,Lanche da Tarde
Amêndoas,Diabetes Tipo 1,432,Jantar
Banana,Obesidade,172,Jantar
Semente de Linhaça,Colesterol Alto,219,Jantar
Espinafre,Doença Celíaca,195,Café da Manhã
Aveia,Colesterol Alto,195,Lanche da Tarde
Ovos,Colesterol Alto,303,Café da Manhã
Semente de Linhaça,Colesterol Alto,467,Café da Manhã
Salmão,Doenças Cardíacas,90,Lanche da Tarde
Maçã,Osteoporose,277,Café da Manhã
Batata Doce,Doenças Cardíacas,469,Jantar
Aveia,Diabetes Tipo 2,340,Jantar
Aveia,Nenhuma,397,Lanche da Tarde
Couve,Doença Celíaca,165,Jantar
Queijo Cottage,Insuficiência Renal,82,Café da Manhã
